#    [ 6525 :  3 :   5 ]    65 - 159
# Cross section
#           QM -9.928600e+05  mass difference Q-value
#           QI -9.928600e+05  reaction Q-value
#           NR             1  number of interpolation range
#           NP           180  lin-lin  interpolation
  8.603130e+06  1.153600e-26
  8.617430e+06  1.181000e-26
  8.620730e+06  1.187300e-26
  8.628830e+06  1.202800e-26
  8.639330e+06  1.222900e-26
  8.664430e+06  1.270900e-26
  8.669430e+06  1.280400e-26
  8.673430e+06  1.288100e-26
  8.689430e+06  1.318700e-26
  8.704430e+06  1.347400e-26
  8.720430e+06  1.378000e-26
  8.723430e+06  1.383700e-26
  8.734930e+06  1.405700e-26
  8.743101e+06  1.421300e-26
  8.743530e+06  1.422200e-26
  9.000000e+06  1.912700e-26
  1.000000e+07  2.484000e-12
  1.100000e+07  2.166900e-14
  1.184400e+07  3.380400e-15
  1.194700e+07  1.148500e-15
  1.200000e+07  3.120500e-21
  1.220000e+07  5.869600e-21
  1.240000e+07  4.057500e-13
  1.260000e+07  2.975600e-13
  1.300000e+07  3.660900e-13
  1.320000e+07  1.223600e-19
  1.340000e+07  1.630400e-19
  1.360000e+07  5.452500e-13
  1.400000e+07  7.034460e-08
  1.406800e+07  8.030140e-08
  1.420000e+07  9.962940e-08
  1.437900e+07  1.373500e-07
  1.440000e+07  1.417750e-07
  1.460000e+07  2.023960e-07
  1.464900e+07  2.279870e-07
  1.491000e+07  3.642980e-07
  1.500000e+07  4.113010e-07
  1.520000e+07  1.145340e-06
  1.540000e+07  6.618600e-12
  1.560000e+07  4.529700e-17
  1.600000e+07  6.963600e-11
  1.620000e+07  1.877800e-16
  1.640000e+07  2.762800e-16
  1.660000e+07  5.658100e-11
  1.680000e+07  3.325200e-11
  1.700000e+07  7.067700e-16
  1.720000e+07  5.773700e-11
  1.740000e+07  4.769600e-12
  1.760000e+07  4.167100e-12
  1.780000e+07  2.042500e-15
  1.800000e+07  2.401500e-15
  1.820000e+07  2.069680e-05
  1.820400e+07  2.068170e-05
  1.840000e+07  1.994140e-05
  1.860000e+07  2.054400e-05
  1.880000e+07  2.016050e-05
  1.900000e+07  1.950780e-05
  1.920000e+07  2.014810e-05
  1.940000e+07  1.888230e-05
  1.960000e+07  1.927150e-05
  1.980000e+07  1.953460e-05
  1.987300e+07  1.962960e-05
  1.995300e+07  1.973360e-05
  2.000000e+07  1.979470e-05
  2.040000e+07  5.476600e-12
  2.042800e+07  5.760300e-12
  2.048300e+07  6.317700e-12
  2.048337e+07  6.321500e-12
  2.071600e+07  8.679100e-12
  2.100000e+07  1.155700e-11
  2.140000e+07  2.886700e-11
  2.200000e+07  9.127900e-11
  2.209700e+07  1.355200e-10
  2.240000e+07  2.737300e-10
  2.300000e+07  1.923540e-09
  2.340000e+07  4.975730e-09
  2.365400e+07  1.002190e-08
  2.400000e+07  1.689590e-08
  2.440000e+07  3.424960e-08
  2.500000e+07  8.054610e-08
  2.540000e+07  1.230730e-07
  2.600000e+07  2.266700e-07
  2.640000e+07  3.203950e-07
  2.700000e+07  1.210520e-05
  2.740000e+07  1.207500e-05
  2.800000e+07  1.229520e-05
  2.840000e+07  1.266590e-05
  2.896400e+07  1.345370e-05
  2.900000e+07  1.350400e-05
  2.940000e+07  1.463150e-05
  3.000000e+07  8.503900e-06
  3.040000e+07  1.076550e-05
  3.100000e+07  1.674500e-05
  3.140000e+07  2.262370e-05
  3.200000e+07  6.946150e-05
  3.300000e+07  4.008160e-04
  3.400000e+07  1.455625e-03
  3.500000e+07  3.006335e-03
  3.600000e+07  4.734392e-03
  3.700000e+07  6.337284e-03
  3.800000e+07  7.672404e-03
  3.900000e+07  8.661333e-03
  4.000000e+07  9.380178e-03
  4.500000e+07  1.025712e-02
  5.000000e+07  1.015785e-02
  5.500000e+07  1.061322e-02
  6.000000e+07  1.137536e-02
  7.000000e+07  1.217268e-02
  8.000000e+07  1.224210e-02
  9.000000e+07  1.177578e-02
  1.000000e+08  1.110023e-02
  1.200000e+08  9.579823e-03
  1.400000e+08  8.370737e-03
  1.600000e+08  7.261838e-03
  1.800000e+08  6.352599e-03
  2.000000e+08  5.646940e-03


