  Merge ENDF/B Data into MAT/MF/MT Order (MERGER 2019-1)
 ************************************************************************
 Interpretation of Input Parameters
 ************************************************************************
 Output Filename
 ------------------------------------------------------------------------
 MERGER.OUT                                                              
 ------------------------------------------------------------------------
 Merged File Label
 ------------------------------------------------------------------------
                                                                      0
 ------------------------------------------------------------------------
 Retrieval Criteria-----------        MAT
 ------------------------------------------------------------------------
 Input Filenames
 ------------------------------------------------------------------------
 MERGER.IN                                                               
 ------------------------------------------------------------------------
 Retrieval Criteria
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit  
  27059 2725  3  66     45    11       1
  27059 2725  3  67     45    11       1
  27059 2725  3  68     44    11       1
  27059 2725  3  69     44    11       1
  27059 2725  3  70     44    11       1
  27059 2725  3  71     43    11       1
  27059 2725  3  72     43    11       1
  27059 2725  3  73     43    11       1
  27059 2725  3  74     42    11       1
  27059 2725  3  75     42    11       1
  27059 2725  3  76     41    11       1
  27059 2725  3  77     41    11       1
  27059 2725  3  78     41    11       1
  27059 2725  3  79     40    11       1
  27059 2725  3  80     40    11       1
  27059 2725  3  81     40    11       1
  27059 2725  3  82     39    11       1
  27059 2725  3  83     39    11       1
  27059 2725  3  84     39    11       1
  27059 2725  3  85     38    11       1
  27059 2725  3  86     38    11       1
  27059 2725  3  87     37    11       1
  27059 2725  3  88     37    11       1
  27059 2725  3  89     36    11       1
  27059 2725  3  91     37    11       1
  27059 2725  3 102     87    11       1
  27059 2725  3 104     32    11       1
  27059 2725  3 105     30    11       1
  27059 2725  3 106     23    11       1
  27059 2725  3 111     25    11       1
  27059 2725  3 112     32    11       1
  27059 2725  3 115     19    11       1
  27059 2725  3 116     18    11       1
  27059 2725  3 600     83    11       1
  27059 2725  3 601     81    11       1
  27059 2725  3 602     78    11       1
  27059 2725  3 603     74    11       1
  27059 2725  3 604     73    11       1
  27059 2725  3 605     72    11       1
  27059 2725  3 606     66    11       1
  27059 2725  3 607     64    11       1
  27059 2725  3 608     64    11       1
  27059 2725  3 609     63    11       1
  27059 2725  3 610     63    11       1
  27059 2725  3 611     62    11       1
  27059 2725  3 612     61    11       1
  27059 2725  3 613     60    11       1
  27059 2725  3 614     60    11       1
  27059 2725  3 615     59    11       1
  27059 2725  3 616     59    11       1
  27059 2725  3 617     58    11       1
  27059 2725  3 618     57    11       1
  27059 2725  3 619     57    11       1
  27059 2725  3 620     56    11       1
  27059 2725  3 621     56    11       1
  27059 2725  3 622     55    11       1
  27059 2725  3 623     55    11       1
  27059 2725  3 624     55    11       1
  27059 2725  3 625     54    11       1
  27059 2725  3 626     54    11       1
  27059 2725  3 627     53    11       1
  27059 2725  3 628     53    11       1
  27059 2725  3 629     52    11       1
  27059 2725  3 630     52    11       1
  27059 2725  3 631     51    11       1
  27059 2725  3 632     50    11       1
  27059 2725  3 633     49    11       1
  27059 2725  3 634     49    11       1
  27059 2725  3 635     48    11       1
  27059 2725  3 636     48    11       1
  27059 2725  3 637     47    11       1
  27059 2725  3 638     47    11       1
  27059 2725  3 639     46    11       1
  27059 2725  3 649     46    11       1
  27059 2725  3 800     85    11       1
  27059 2725  3 801     84    11       1
  27059 2725  3 802     82    11       1
  27059 2725  3 803     81    11       1
  27059 2725  3 804     81    11       1
  27059 2725  3 805     80    11       1
  27059 2725  3 806     80    11       1
  27059 2725  3 807     79    11       1
  27059 2725  3 808     78    11       1
  27059 2725  3 809     77    11       1
  27059 2725  3 810     77    11       1
  27059 2725  3 811     77    11       1
  27059 2725  3 812     76    11       1
  27059 2725  3 813     76    11       1
  27059 2725  3 814     75    11       1
  27059 2725  3 815     75    11       1
  27059 2725  3 816     75    11       1
  27059 2725  3 817     74    11       1
  27059 2725  3 818     74    11       1
  27059 2725  3 819     73    11       1
  27059 2725  3 820     72    11       1
  27059 2725  3 821     72    11       1
  27059 2725  3 822     71    11       1
  27059 2725  3 823     71    11       1
  27059 2725  3 824     71    11       1
  27059 2725  3 825     70    11       1
  27059 2725  3 826     70    11       1
  27059 2725  3 827     69    11       1
  27059 2725  3 828     69    11       1
  27059 2725  3 829     69    11       1
  27059 2725  3 830     68    11       1
  27059 2725  3 831     68    11       1
  27059 2725  3 832     68    11       1
  27059 2725  3 833     67    11       1
  27059 2725  3 834     67    11       1
  27059 2725  3 835     67    11       1
  27059 2725  3 836     66    11       1
  27059 2725  3 837     66    11       1
  27059 2725  3 838     65    11       1
  27059 2725  3 839     65    11       1
  27059 2725  3 849     65    11       1
  27059 2725 10   4     64    11       2
  27059 2725 10   5    536    11       2
  27059 2725 10  22     12    11       2
  27059 2725 10  23      9    11       2
  27059 2725 10  24     14    11       2
  27059 2725 10  25     10    11       2
  27059 2725 10  29     13    11       2
  27059 2725 10  30      9    11       2
  27059 2725 10  35     10    11       2
  27059 2725 10  36      8    11       2
  27059 2725 10  37     10    11       2
  27059 2725 10  45     16    11       2
  27059 2725 10 108     20    11       2
  27059 2725 10 109     12    11       2
  27059 2725 10 112     12    11       2
  27059 2725 10 114     10    11       2
 ------------------------------------------------------------------------
          MAT Lines   9707
 ------------------------------------------------------------------------
         Tape Lines   9709
 ------------------------------------------------------------------------
 ************************************************************************
 Retrieval Statistics
 ************************************************************************
 Merged Materials---          1
 Merged Sections----        162
 Merged Lines-------       9709
 ------------------------------------------------------------------------
 Retrieved Data for Each Request
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit *            Retrieved
  Number *    MAT MF  MT *    MAT MF  MT *   Materials    Sections  Lines
 ------------------------------------------------------------------------
       1 *      0  1   1 * 999999  3 999 *           1         146   8938
       2 *      0 10   1 * 999999 10 999 *           1          16    765
       3 *      0 33   1 * 999999 33 999 *           0           0      0
       4 *      0 40   1 * 999999 40 999 *           0           0      0
 ------------------------------------------------------------------------
  Totals                                             1         162   9709
 ------------------------------------------------------------------------
 Note..The Line Count of Retrieved Data for Each Request Does
       NOT Include FEND, MEND AND TEND Lines. Therefore the  
       Total Number of Lines Actually Retrieved and Written  
       on the Merged File Will be More than the Sum of the   
       Number of Lines for All Requests.                     
 ===============================================================================
 MERGER   Total Execution Time                0.09 Seconds
 ===============================================================================
