

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Ni- 58                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -3.42424-30 -3.4242E-30    1.168142419919D-05 2825  6   5   259    6
 -7.34439-30 -7.3444E-30   -1.361583467199D-06 2825  6   5   259    6
 -2.40581-29 -2.4058E-29    4.156604220540D-06 2825  6   5   259    6
 -1.70923-29 -1.7092E-29    1.755176307461D-05 2825  6   5   259    6
 -2.20533-29 -2.2053E-29    1.360340629294D-05 2825  6   5   260    6
 -1.62337-29 -1.6234E-29   -1.848007539872D-05 2825  6   5   263    6
 -1.25108-29 -1.2511E-29   -1.598618793367D-05 2825  6   5   263    6
 -9.33054-31 -9.3305E-31    4.286997322715D-06 2825  6   5   264    6
 -5.54738-30 -5.5474E-30   -3.605305567658D-06 2825  6   5   264    6
 -9.42683-30 -9.4268E-30    3.182405962617D-06 2825  6   5   265    6
 -2.68076-29 -2.6808E-29   -1.492114176571D-05 2825  6   5   265    6
 -1.77361-29 -1.7736E-29    5.638218097450D-06 2825  6   5   266    6
 -6.10333-31 -6.1033E-31    4.915349489549D-06 2825  6   5   267    6
 -2.45317-30 -2.4532E-30   -1.222907503348D-05 2825  6   5   268    6
 -5.67608-31 -5.6761E-31   -3.523558512167D-06 2825  6   5   268    6
 -1.74745-30 -1.7475E-30   -2.861312197782D-05 2825  6   5   269    6
 -4.95387-31 -4.9539E-31   -6.055871470194D-06 2825  6   5   270    6
 -9.81946-31 -9.8195E-31   -4.073543759151D-06 2825  6   5   270    6
 -1.14073-30 -1.1407E-30    2.629894891872D-05 2825  6   5   270    6
 -8.47442-31 -8.4744E-31    2.360043519069D-06 2825  6   5   271    6
 -4.14242-25 -4.1424E-25    4.828095654244D-06 2825  6   5   272    6
 -1.35694-24 -1.3569E-24    2.947809040925D-05 2825  6   5   272    6
 -1.24386-24 -1.2439E-24   -3.215795989896D-05 2825  6   5   272    6
 -1.13183-30 -1.1318E-30    2.650574732959D-05 2825  6   5   273    6
 -3.57052-32 -3.5705E-32    5.601425002632D-06 2825  6   5   273    6
 -5.89495-31 -5.8950E-31   -8.481836147705D-06 2825  6   5   274    6
 -3.52917-31 -3.5292E-31   -8.500582289901D-06 2825  6   5   274    6
 -5.28622-25 -5.2862E-25    3.783421802357D-06 2825  6   5   274    6
 -1.73161-24 -1.7316E-24    5.774972424576D-06 2825  6   5   274    6
 -1.23024-24 -1.2302E-24    3.251398101192D-05 2825  6   5   275    6
 -1.58731-24 -1.5873E-24    6.299966610136D-06 2825  6   5   275    6
 -6.26876-32 -6.2688E-32   -6.380847248850D-06 2825  6   5   275    6
 -1.57501-31 -1.5750E-31    6.349166037237D-06 2825  6   5   276    6
 -9.50947-32 -9.5095E-32   -3.154749949151D-06 2825  6   5   276    6
 -2.44126-31 -2.4413E-31   -1.638498152590D-05 2825  6   5   276    6
