  Merge ENDF/B Data into MAT/MF/MT Order (MERGER 2019-1)
 ************************************************************************
 Interpretation of Input Parameters
 ************************************************************************
 Output Filename
 ------------------------------------------------------------------------
 MERGER.OUT                                                              
 ------------------------------------------------------------------------
 Merged File Label
 ------------------------------------------------------------------------
                                                                      0
 ------------------------------------------------------------------------
 Retrieval Criteria-----------        MAT
 ------------------------------------------------------------------------
 Input Filenames
 ------------------------------------------------------------------------
 MERGER.IN                                                               
 ------------------------------------------------------------------------
 Retrieval Criteria
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit  
  69169 6925  3  66     33    11       1
  69169 6925  3  67     33    11       1
  69169 6925  3  68     33    11       1
  69169 6925  3  69     33    11       1
  69169 6925  3  70     33    11       1
  69169 6925  3  71     33    11       1
  69169 6925  3  72     33    11       1
  69169 6925  3  73     33    11       1
  69169 6925  3  74     33    11       1
  69169 6925  3  75     33    11       1
  69169 6925  3  76     33    11       1
  69169 6925  3  77     33    11       1
  69169 6925  3  78     33    11       1
  69169 6925  3  79     33    11       1
  69169 6925  3  80     33    11       1
  69169 6925  3  81     33    11       1
  69169 6925  3  82     33    11       1
  69169 6925  3  83     33    11       1
  69169 6925  3  84     33    11       1
  69169 6925  3  85     33    11       1
  69169 6925  3  86     33    11       1
  69169 6925  3  87     33    11       1
  69169 6925  3  88     33    11       1
  69169 6925  3  89     33    11       1
  69169 6925  3  91     33    11       1
  69169 6925  3 102     35    11       1
  69169 6925  3 104     30    11       1
  69169 6925  3 105     29    11       1
  69169 6925  3 106     24    11       1
  69169 6925  3 111     21    11       1
  69169 6925  3 112     31    11       1
  69169 6925  3 115     18    11       1
  69169 6925  3 116     18    11       1
  69169 6925  3 600     34    11       1
  69169 6925  3 601     34    11       1
  69169 6925  3 602     34    11       1
  69169 6925  3 603     34    11       1
  69169 6925  3 604     34    11       1
  69169 6925  3 605     34    11       1
  69169 6925  3 606      5    11       1
  69169 6925  3 607     33    11       1
  69169 6925  3 608     33    11       1
  69169 6925  3 609     33    11       1
  69169 6925  3 610     33    11       1
  69169 6925  3 611     33    11       1
  69169 6925  3 612     33    11       1
  69169 6925  3 613     33    11       1
  69169 6925  3 614     33    11       1
  69169 6925  3 615     33    11       1
  69169 6925  3 616     33    11       1
  69169 6925  3 617      5    11       1
  69169 6925  3 618     33    11       1
  69169 6925  3 619     33    11       1
  69169 6925  3 620     33    11       1
  69169 6925  3 621     33    11       1
  69169 6925  3 622     32    11       1
  69169 6925  3 623     32    11       1
  69169 6925  3 624     33    11       1
  69169 6925  3 625     32    11       1
  69169 6925  3 626     32    11       1
  69169 6925  3 627     33    11       1
  69169 6925  3 628     32    11       1
  69169 6925  3 629     32    11       1
  69169 6925  3 630     32    11       1
  69169 6925  3 631     32    11       1
  69169 6925  3 632      5    11       1
  69169 6925  3 633     32    11       1
  69169 6925  3 634     32    11       1
  69169 6925  3 635     33    11       1
  69169 6925  3 636     32    11       1
  69169 6925  3 637     32    11       1
  69169 6925  3 638     32    11       1
  69169 6925  3 639     32    11       1
  69169 6925  3 800     35    11       1
  69169 6925  3 801     35    11       1
  69169 6925  3 802     35    11       1
  69169 6925  3 803     35    11       1
  69169 6925  3 804     35    11       1
  69169 6925  3 805     35    11       1
  69169 6925  3 806     35    11       1
  69169 6925  3 807     35    11       1
  69169 6925  3 808     35    11       1
  69169 6925  3 809     35    11       1
  69169 6925  3 810     35    11       1
  69169 6925  3 811     35    11       1
  69169 6925  3 812     35    11       1
  69169 6925  3 813     35    11       1
  69169 6925  3 814     35    11       1
  69169 6925  3 815     35    11       1
  69169 6925  3 816      5    11       1
  69169 6925  3 817     35    11       1
  69169 6925  3 818     35    11       1
  69169 6925  3 819     35    11       1
  69169 6925  3 820     35    11       1
  69169 6925  3 821     35    11       1
  69169 6925  3 822     35    11       1
  69169 6925  3 823     35    11       1
  69169 6925  3 824     35    11       1
  69169 6925  3 825     35    11       1
  69169 6925  3 826     35    11       1
  69169 6925  3 827     35    11       1
  69169 6925  3 828     35    11       1
  69169 6925  3 829     35    11       1
  69169 6925  3 830      5    11       1
  69169 6925  3 831     35    11       1
  69169 6925  3 832     35    11       1
  69169 6925  3 833     35    11       1
  69169 6925  3 834     35    11       1
  69169 6925  3 835     35    11       1
  69169 6925  3 836     35    11       1
  69169 6925  3 837     35    11       1
  69169 6925  3 838      5    11       1
  69169 6925 10   5   3368    11       2
 ------------------------------------------------------------------------
          MAT Lines   8660
 ------------------------------------------------------------------------
         Tape Lines   8662
 ------------------------------------------------------------------------
 ************************************************************************
 Retrieval Statistics
 ************************************************************************
 Merged Materials---          1
 Merged Sections----        144
 Merged Lines-------       8662
 ------------------------------------------------------------------------
 Retrieved Data for Each Request
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit *            Retrieved
  Number *    MAT MF  MT *    MAT MF  MT *   Materials    Sections  Lines
 ------------------------------------------------------------------------
       1 *      0  1   1 * 999999  3 999 *           1         143   5288
       2 *      0 10   1 * 999999 10 999 *           1           1   3368
       3 *      0 33   1 * 999999 33 999 *           0           0      0
       4 *      0 40   1 * 999999 40 999 *           0           0      0
 ------------------------------------------------------------------------
  Totals                                             1         144   8662
 ------------------------------------------------------------------------
 Note..The Line Count of Retrieved Data for Each Request Does
       NOT Include FEND, MEND AND TEND Lines. Therefore the  
       Total Number of Lines Actually Retrieved and Written  
       on the Merged File Will be More than the Sum of the   
       Number of Lines for All Requests.                     
 ===============================================================================
 MERGER   Total Execution Time                0.13 Seconds
 ===============================================================================
