  Merge ENDF/B Data into MAT/MF/MT Order (MERGER 2019-1)
 ************************************************************************
 Interpretation of Input Parameters
 ************************************************************************
 Output Filename
 ------------------------------------------------------------------------
 MERGER.OUT                                                              
 ------------------------------------------------------------------------
 Merged File Label
 ------------------------------------------------------------------------
                                                                      0
 ------------------------------------------------------------------------
 Retrieval Criteria-----------        MAT
 ------------------------------------------------------------------------
 Input Filenames
 ------------------------------------------------------------------------
 MERGER.IN                                                               
 ------------------------------------------------------------------------
 Retrieval Criteria
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit  
  39089 3925  3  66     43    11       1
  39089 3925  3  67     42    11       1
  39089 3925  3  68     42    11       1
  39089 3925  3  69     42    11       1
  39089 3925  3  70     41    11       1
  39089 3925  3  71     41    11       1
  39089 3925  3  72     41    11       1
  39089 3925  3  74     40    11       1
  39089 3925  3  75     40    11       1
  39089 3925  3  76     39    11       1
  39089 3925  3  77     39    11       1
  39089 3925  3  78     39    11       1
  39089 3925  3  79     38    11       1
  39089 3925  3  80     38    11       1
  39089 3925  3  81     38    11       1
  39089 3925  3  82     37    11       1
  39089 3925  3  83     37    11       1
  39089 3925  3  84     36    11       1
  39089 3925  3  91     37    11       1
  39089 3925  3 102     79    11       1
  39089 3925  3 104     33    11       1
  39089 3925  3 105     31    11       1
  39089 3925  3 106     28    11       1
  39089 3925  3 111     31    11       1
  39089 3925  3 112     34    11       1
  39089 3925  3 115     21    11       1
  39089 3925  3 116     19    11       1
  39089 3925  3 600     78    11       1
  39089 3925  3 601     72    11       1
  39089 3925  3 602     66    11       1
  39089 3925  3 603     62    11       1
  39089 3925  3 604     62    11       1
  39089 3925  3 605     62    11       1
  39089 3925  3 606     61    11       1
  39089 3925  3 607     61    11       1
  39089 3925  3 608     60    11       1
  39089 3925  3 609     60    11       1
  39089 3925  3 610     59    11       1
  39089 3925  3 611     59    11       1
  39089 3925  3 612     59    11       1
  39089 3925  3 613     58    11       1
  39089 3925  3 614     58    11       1
  39089 3925  3 615     58    11       1
  39089 3925  3 616     57    11       1
  39089 3925  3 617     57    11       1
  39089 3925  3 618     57    11       1
  39089 3925  3 619     56    11       1
  39089 3925  3 620     56    11       1
  39089 3925  3 621     56    11       1
  39089 3925  3 622     55    11       1
  39089 3925  3 623     55    11       1
  39089 3925  3 624     54    11       1
  39089 3925  3 625     54    11       1
  39089 3925  3 626     53    11       1
  39089 3925  3 627     53    11       1
  39089 3925  3 628     53    11       1
  39089 3925  3 629     52    11       1
  39089 3925  3 630     52    11       1
  39089 3925  3 631     52    11       1
  39089 3925  3 632     51    11       1
  39089 3925  3 633     51    11       1
  39089 3925  3 634     50    11       1
  39089 3925  3 635     50    11       1
  39089 3925  3 636     50    11       1
  39089 3925  3 637     49    11       1
  39089 3925  3 638     49    11       1
  39089 3925  3 639     48    11       1
  39089 3925  3 649     48    11       1
  39089 3925  3 800     78    11       1
  39089 3925  3 801     77    11       1
  39089 3925  3 802     76    11       1
  39089 3925  3 803     75    11       1
  39089 3925  3 804     74    11       1
  39089 3925  3 805     74    11       1
  39089 3925  3 806     73    11       1
  39089 3925  3 807     73    11       1
  39089 3925  3 808     73    11       1
  39089 3925  3 809     72    11       1
  39089 3925  3 810     71    11       1
  39089 3925  3 811     71    11       1
  39089 3925  3 812     71    11       1
  39089 3925  3 813     70    11       1
  39089 3925  3 814     70    11       1
  39089 3925  3 815     70    11       1
  39089 3925  3 816     69    11       1
  39089 3925  3 817     69    11       1
  39089 3925  3 818     68    11       1
  39089 3925  3 819     68    11       1
  39089 3925  3 820     68    11       1
  39089 3925  3 821     67    11       1
  39089 3925  3 822     67    11       1
  39089 3925  3 823     67    11       1
  39089 3925  3 824     66    11       1
  39089 3925  3 825     66    11       1
  39089 3925  3 826     65    11       1
  39089 3925  3 827     65    11       1
  39089 3925  3 828     65    11       1
  39089 3925  3 829     64    11       1
  39089 3925  3 830     64    11       1
  39089 3925  3 831     63    11       1
  39089 3925  3 832     63    11       1
  39089 3925  3 849     63    11       1
  39089 3925 10   5    666    11       2
  39089 3925 10  22     11    11       2
  39089 3925 10  23      9    11       2
  39089 3925 10  24     17    11       2
  39089 3925 10  25     10    11       2
  39089 3925 10  29     14    11       2
  39089 3925 10  30     10    11       2
  39089 3925 10  35     10    11       2
  39089 3925 10  36      8    11       2
  39089 3925 10  37     10    11       2
  39089 3925 10  45     17    11       2
  39089 3925 10 108     21    11       2
  39089 3925 10 109     12    11       2
  39089 3925 10 112     11    11       2
  39089 3925 10 114      9    11       2
 ------------------------------------------------------------------------
          MAT Lines   8619
 ------------------------------------------------------------------------
         Tape Lines   8621
 ------------------------------------------------------------------------
 ************************************************************************
 Retrieval Statistics
 ************************************************************************
 Merged Materials---          1
 Merged Sections----        148
 Merged Lines-------       8621
 ------------------------------------------------------------------------
 Retrieved Data for Each Request
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit *            Retrieved
  Number *    MAT MF  MT *    MAT MF  MT *   Materials    Sections  Lines
 ------------------------------------------------------------------------
       1 *      0  1   1 * 999999  3 999 *           1         133   7780
       2 *      0 10   1 * 999999 10 999 *           1          15    835
       3 *      0 33   1 * 999999 33 999 *           0           0      0
       4 *      0 40   1 * 999999 40 999 *           0           0      0
 ------------------------------------------------------------------------
  Totals                                             1         148   8621
 ------------------------------------------------------------------------
 Note..The Line Count of Retrieved Data for Each Request Does
       NOT Include FEND, MEND AND TEND Lines. Therefore the  
       Total Number of Lines Actually Retrieved and Written  
       on the Merged File Will be More than the Sum of the   
       Number of Lines for All Requests.                     
 ===============================================================================
 MERGER   Total Execution Time                0.15 Seconds
 ===============================================================================
