

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Sn-117                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -1.24244-23 -1.2424E-23    3.219471362793D-05 5040  6   5   280    6
 -2.53463-30 -2.5346E-30    1.183604707599D-05 5040  6   5   356    6
 -2.45354-30 -2.4535E-30    1.630297447763D-05 5040  6   5   356    6
 -1.81449-30 -1.8145E-30   -5.511190472231D-06 5040  6   5   357    6
 -1.06071-28 -1.0607E-28    9.427647519102D-06 5040  6   5   358    6
 -2.13722-32 -2.1372E-32    9.357950983111D-06 5040  6   5   359    6
 -3.35403-31 -3.3540E-31    8.944463824131D-06 5040  6   5   360    6
 -8.57306-32 -8.5731E-32   -4.665778613436D-06 5040  6   5   360    6
 -8.20165-29 -8.2017E-29   -6.096334274193D-06 5040  6   5   361    6
 -3.17376-32 -3.1738E-32   -1.260334744899D-05 5040  6   5   363    6
 -7.50383-32 -7.5038E-32    3.997958376075D-06 5040  6   5   363    6
 -1.32024-32 -1.3202E-32    3.029752166292D-05 5040  6   5   364    6
 -2.61696-32 -2.6170E-32   -1.528491073601D-05 5040  6   5   364    6
 -2.58656-32 -2.5866E-32   -1.546455523928D-05 5040  6   5   365    6
 -5.45211-32 -5.4521E-32    1.834152282464D-06 5040  6   5   365    6
 -6.12925-32 -6.1293E-32   -8.157604927088D-06 5040  6   5   366    6
 -3.96279-32 -3.9628E-32   -2.523474622728D-06 5040  6   5   366    6
 -8.45303-33 -8.4530E-33    3.549023249657D-06 5040  6   5   367    6
 -3.46991-33 -3.4699E-33    2.881919127722D-06 5040  6   5   367    6
 -1.23549-32 -1.2355E-32   -8.093954625230D-06 5040  6   5   368    6
 -1.19596-32 -1.1960E-32   -3.344593464662D-05 5040  6   5   368    6
 -4.34001-34 -4.3400E-34    2.304142156424D-06 5040  6   5   369    6
 -8.60268-34 -8.6027E-34   -2.324856905128D-06 5040  6   5   369    6
 -1.66985-34 -1.6699E-34   -2.994280923437D-05 5040  6   5   370    6
 -4.62089-35 -4.6209E-35   -2.164085273635D-06 5040  6   5   371    6
 -1.89684-35 -1.8968E-35    2.108770375984D-05 5040  6   5   371    6
 -1.04952-27 -1.0495E-27    1.905633051306D-05 5040  6   5   372    6
 -1.65441-23 -1.6544E-23    6.044450891842D-06 5040  6   5   375    6
 -5.21905-25 -5.2191E-25   -9.580287600172D-06 5040  6   5   375    6
 -2.93397-32 -2.9340E-32   -1.022505342592D-05 5040  6   5   459    6
 -1.20438-32 -1.2044E-32   -1.660605456737D-05 5040  6   5   459    6
 -2.07666-30 -2.0767E-30   -1.926169907439D-05 5040  6   5   460    6
 -3.42961-32 -3.4296E-32    2.915783427169D-06 5040  6   5   461    6
 -1.08192-33 -1.0819E-33    1.848565513154D-05 5040  6   5   461    6
 -1.78625-32 -1.7863E-32   -2.799160251919D-05 5040  6   5   461    6
 -2.43796-33 -2.4380E-33   -1.640716008459D-05 5040  6   5   462    6
 -7.50558-33 -7.5056E-33   -2.664684141609D-06 5040  6   5   462    6
 -7.78121-29 -7.7812E-29    1.285147168569D-06 5040  6   5   463    6
 -1.03989-29 -1.0399E-29   -9.616401734759D-06 5040  6   5   463    6
 -1.09714-32 -1.0971E-32    3.645842827713D-05 5040  6   5   464    6
 -3.46107-34 -3.4611E-34   -8.667839714446D-06 5040  6   5   464    6
 -5.71426-33 -5.7143E-33   -7.000031500233D-06 5040  6   5   464    6
 -4.61454-33 -4.6145E-33    8.668252956923D-06 5040  6   5   465    6
 -1.75927-33 -1.7593E-33   -1.705252746861D-05 5040  6   5   465    6
 -5.42783-34 -5.4278E-34    5.527070670820D-06 5040  6   5   466    6
 -1.07589-33 -1.0759E-33   -9.294630491927D-06 5040  6   5   466    6
 -1.64862-33 -1.6486E-33    1.213135834835D-05 5040  6   5   467    6
 -4.68826-33 -4.6883E-33   -8.531950019802D-06 5040  6   5   467    6
 -1.94086-33 -1.9409E-33   -2.060942056623D-05 5040  6   5   468    6
 -7.06528-35 -7.0653E-35   -2.830744146046D-06 5040  6   5   468    6
 -6.18353-35 -6.1835E-35    4.851597711856D-06 5040  6   5   469    6
 -1.90368-34 -1.9037E-34   -1.050596738957D-05 5040  6   5   469    6
 -3.57391-35 -3.5739E-35    2.798055910628D-06 5040  6   5   470    6
 -1.17071-34 -1.1707E-34    8.541825046414D-06 5040  6   5   470    6
 -8.31742-35 -8.3174E-35    2.404591808539D-06 5040  6   5   470    6
 -1.07315-34 -1.0732E-34   -4.659180915996D-05 5040  6   5   470    6
 -4.26907-35 -4.2691E-35   -7.027291658432D-06 5040  6   5   471    6
 -3.29003-35 -3.2900E-35    9.118457886320D-06 5040  6   5   471    6
 -1.09672-36 -1.0967E-36    1.823619520036D-05 5040  6   5   472    6
 -3.59255-36 -3.5926E-36   -1.391769077668D-05 5040  6   5   472    6
 -2.55236-36 -2.5524E-36   -1.567177043989D-05 5040  6   5   472    6
 -3.29317-36 -3.2932E-36   -9.109763540741D-06 5040  6   5   472    6
 -4.71532-29 -4.7153E-29    4.241493684339D-06 5040  6   5   473    6
 -1.34092-28 -1.3409E-28    1.491513289398D-05 5040  6   5   473    6
 -7.21403-24 -7.2140E-24    4.158563244274D-06 5040  6   5   476    6
 -1.17826-23 -1.1783E-23   -3.394836453757D-05 5040  6   5   476    6
 -4.20222-24 -4.2022E-24    4.759389084699D-06 5040  6   5   477    6
 -1.19192-15 -1.1919E-15    1.677964964087D-05 5040  6   5   479    6
 -1.10062-16 -1.1006E-16    1.817157602076D-05 5040  6   5   480    6
 -6.86973-16 -6.8697E-16    4.366983855192D-06 5040  6   5   486    6
 -6.66992-17 -6.6699E-17    2.998536713913D-06 5040  6   5   487    6
 -3.47657-16 -3.4766E-16   -8.629194867361D-06 5040  6   5   488    6
